Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
40172434,09/02/2018 12:00:00 AM,09/02/2018 09:50:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,10034,,,,,WEST 204 STREET,BROADWAY,INTERSECTION,NEW YORK,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and shut the running hydrant.,09/02/2018 09:50:00 AM,12 MANHATTAN,,MANHATTAN,1005517,255164,PHONE,Unspecified,MANHATTAN,,,,,,,,40.86701519865037,-73.92310894630785,"(40.86701519865037, -73.92310894630785)"
40170325,09/02/2018 12:00:08 AM,09/02/2018 12:22:33 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11693,82-01 BEACH CHANNEL DRIVE,BEACH CHANNEL DRIVE,BEACH 81 STREET,BEACH 83 STREET,,,ADDRESS,FAR ROCKAWAY,,Precinct,Closed,09/02/2018 08:00:08 AM,The Police Department responded to the complaint and took action to fix the condition.,09/02/2018 12:22:33 AM,14 QUEENS,4161140002,QUEENS,1037327,154262,PHONE,Unspecified,QUEENS,,,,,,,,40.58993080750793,-73.80889570815852,"(40.58993080750793, -73.80889570815852)"
40168929,09/02/2018 12:00:08 AM,09/02/2018 06:27:23 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10473,401 BRONX RIVER AVENUE,BRONX RIVER AVENUE,LACOMBE AVENUE,DEAD END,,,ADDRESS,BRONX,,Precinct,Closed,09/02/2018 08:00:08 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/02/2018 06:27:23 AM,09 BRONX,2035150060,BRONX,1020820,236146,PHONE,Unspecified,BRONX,,,,,,,,40.81476626134988,-73.86788456578616,"(40.81476626134988, -73.86788456578616)"
40165321,09/02/2018 12:00:28 AM,09/02/2018 05:27:15 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11210,425 EAST 24 STREET,EAST 24 STREET,FOSTER AVENUE,FARRAGUT ROAD,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/02/2018 08:00:28 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/02/2018 05:27:15 AM,14 BROOKLYN,,BROOKLYN,996818,171536,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.637494369995956,-73.95471656531379,"(40.637494369995956, -73.95471656531379)"
40168086,09/02/2018 12:00:36 AM,09/02/2018 01:36:47 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11436,,,,,123 AVENUE,143 STREET,INTERSECTION,JAMAICA,,Precinct,Closed,09/02/2018 08:00:36 AM,The Police Department responded to the complaint and took action to fix the condition.,09/02/2018 01:36:47 AM,12 QUEENS,,QUEENS,1040915,185134,ONLINE,Unspecified,QUEENS,,,,,,,,40.674645461432256,-73.7957179023611,"(40.674645461432256, -73.7957179023611)"
40162827,09/02/2018 12:00:37 AM,09/02/2018 05:20:06 AM,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,10463,3118 BAILEY AVENUE,BAILEY AVENUE,WEST 231 STREET,SUMMIT PLACE,,,ADDRESS,BRONX,,Precinct,Closed,09/02/2018 08:00:37 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/02/2018 05:20:06 AM,08 BRONX,2032610031,BRONX,1011340,259336,ONLINE,Unspecified,BRONX,,,,,,,,40.878450101343795,-73.90203897804452,"(40.878450101343795, -73.90203897804452)"
40169210,09/02/2018 12:00:39 AM,09/02/2018 11:43:57 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10302,911 POST AVENUE,POST AVENUE,CORTLANDT STREET,SIMONSON PLACE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/02/2018 08:00:39 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/02/2018 11:43:57 PM,01 STATEN ISLAND,5010270010,STATEN ISLAND,947805,169298,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.6312854800653,-74.1313018603108,"(40.6312854800653, -74.1313018603108)"
40175631,09/02/2018 12:01:26 AM,,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11368,97-11 HORACE HARDING EXPRESSWAY,HORACE HARDING EXPRESSWAY,,,,,ADDRESS,Corona,,N/A,Open,,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09/02/2018 12:00:00 AM,04 QUEENS,4019180107,QUEENS,1022370,207058,PHONE,Unspecified,QUEENS,,,,,,,,40.73492088547959,-73.86244994325136,"(40.73492088547959, -73.86244994325136)"
40170006,09/02/2018 12:01:43 AM,09/02/2018 01:35:46 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11436,,,,,123 AVENUE,143 STREET,INTERSECTION,JAMAICA,,Precinct,Closed,09/02/2018 08:01:43 AM,The Police Department responded to the complaint and took action to fix the condition.,09/02/2018 01:35:46 AM,12 QUEENS,,QUEENS,1040915,185134,ONLINE,Unspecified,QUEENS,,,,,,,,40.674645461432256,-73.7957179023611,"(40.674645461432256, -73.7957179023611)"
40170046,09/02/2018 12:01:51 AM,09/02/2018 12:25:42 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11211,949 GRAND STREET,GRAND STREET,CATHERINE STREET,MORGAN AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/02/2018 08:01:51 AM,The Police Department responded to the complaint and took action to fix the condition.,09/02/2018 12:25:42 AM,01 BROOKLYN,3029240049,BROOKLYN,1001893,199050,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.713005423300324,-73.93635894656738,"(40.713005423300324, -73.93635894656738)"
